"Client","Application","Version","Environment","DeploymentStatus","DeploymentStartDateTime","DeploymentEndDateTime","TriggeredBy","ActionRunUrl"
"QA","CIDM","2.26.0710.233","QA","Approved","2026-07-14 14:33:34 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29341265632"
"QRMO","Recon","2.26.0706.613","UAT","Approved","2026-07-14 14:50:30 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29342515364"
"MPCM","CIDM","2.26.0710.233","UAT","Succeeded","2026-07-14 16:29:35 UTC","2026-07-14 16:47:14 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29349748500"
"EPCM","CIDM","2.26.0710.233","UAT","Failed","2026-07-14 14:34:03 UTC","2026-07-14 14:41:31 UTC","LDMKrishnan",""
"MTEU","Tools","2.26.0713.47","UAT","Failed","2026-07-14 16:30:49 UTC","2026-07-14 16:32:47 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29349770782"
"QRMO","Tools","2.26.0713.47","UAT","InProgress","2026-07-14 16:01:55 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29347837105"
"MTEU","Tools","2.26.0713.47","UAT","Approved","2026-07-14 15:56:03 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29347250178"
"QRMO","Tools","2.26.0713.47","UAT","Approval Pending","2026-07-14 15:58:50 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29347594699"
"QRMO","Tools","2.26.0713.47","UAT","Approved","2026-07-14 16:00:50 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29347594699"
"MPCM","CIDM","2.26.0710.233","UAT","Approved","2026-07-14 16:20:44 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29347628004"
